# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2024-10-03 11:29:28 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01578310 SUSQUEHANNA RIVER AT CONOWINGO, MD
# -----------------------------------------------------------------------------------
#
# Data provided for site 01578310
#            TS   parameter     Description
#         69542       00060     Discharge, cubic feet per second
#         69543       00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	tz_cd	69542_00060	69542_00060_cd	69543_00065	69543_00065_cd
USGS	01578310	2016-10-01 03:45	EDT	4430	A	9.12	A
USGS	01578310	2016-10-01 04:00	EDT	4430	A	9.12	A
USGS	01578310	2016-10-01 04:15	EDT	4430	A	9.12	A
USGS	01578310	2016-10-01 04:30	EDT	4390	A	9.11	A
USGS	01578310	2016-10-01 04:45	EDT	4390	A	9.11	A
USGS	01578310	2016-10-01 05:00	EDT	4390	A	9.11	A
USGS	01578310	2016-10-01 05:15	EDT	4390	A	9.11	A
USGS	01578310	2016-10-01 05:30	EDT	4390	A	9.11	A
USGS	01578310	2016-10-01 05:45	EDT	4350	A	9.10	A
USGS	01578310	2016-10-01 06:00	EDT	4390	A	9.11	A
USGS	01578310	2016-10-01 06:15	EDT	4350	A	9.10	A
USGS	01578310	2016-10-01 06:30	EDT	4350	A	9.10	A
USGS	01578310	2016-10-01 06:45	EDT	4350	A	9.10	A
USGS	01578310	2016-10-01 07:00	EDT	4350	A	9.10	A
USGS	01578310	2016-10-01 07:15	EDT	4310	A	9.09	A
USGS	01578310	2016-10-01 07:30	EDT	4310	A	9.09	A
USGS	01578310	2016-10-01 07:45	EDT	4310	A	9.09	A
USGS	01578310	2016-10-01 08:00	EDT	4310	A	9.09	A
USGS	01578310	2016-10-01 08:15	EDT	4310	A	9.09	A
USGS	01578310	2016-10-01 08:30	EDT	4310	A	9.09	A
USGS	01578310	2016-10-01 08:45	EDT	4310	A	9.09	A
USGS	01578310	2016-10-01 09:00	EDT	4310	A	9.09	A
USGS	01578310	2016-10-01 09:15	EDT	4310	A	9.09	A
USGS	01578310	2016-10-01 09:30	EDT	4310	A	9.09	A
USGS	01578310	2016-10-01 09:45	EDT	4310	A	9.09	A
USGS	01578310	2016-10-01 10:00	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 10:15	EDT	4310	A	9.09	A
USGS	01578310	2016-10-01 10:30	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 10:45	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 11:00	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 11:15	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 11:30	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 11:45	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 12:00	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 12:15	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 12:30	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 12:45	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 13:00	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 13:15	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 13:30	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 13:45	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 14:00	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 14:15	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 14:30	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 14:45	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 15:00	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 15:15	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 15:30	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 15:45	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 16:00	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 16:15	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 16:30	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 16:45	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 17:00	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 17:15	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 17:30	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 17:45	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 18:00	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 18:15	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 18:30	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 18:45	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 19:00	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 19:15	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 19:30	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 19:45	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 20:00	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 20:15	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 20:30	EDT	4280	A	9.08	A
USGS	01578310	2016-10-01 20:45	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 21:00	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 21:15	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 21:30	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 21:45	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 22:00	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 22:15	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 22:30	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 22:45	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 23:00	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 23:15	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 23:30	EDT	4240	A	9.07	A
USGS	01578310	2016-10-01 23:45	EDT	4240	A	9.07	A
USGS	01578310	2016-10-02 00:00	EDT	4240	A	9.07	A
USGS	01578310	2016-10-02 00:15	EDT	4240	A	9.07	A
USGS	01578310	2016-10-02 00:30	EDT	4240	A	9.07	A
USGS	01578310	2016-10-02 00:45	EDT	4240	A	9.07	A
USGS	01578310	2016-10-02 01:00	EDT	4240	A	9.07	A
USGS	01578310	2016-10-02 01:15	EDT	4240	A	9.07	A
USGS	01578310	2016-10-02 01:30	EDT	4200	A	9.06	A
USGS	01578310	2016-10-02 01:45	EDT	4200	A	9.06	A
USGS	01578310	2016-10-02 02:00	EDT	4200	A	9.06	A
USGS	01578310	2016-10-02 02:15	EDT	4200	A	9.06	A
USGS	01578310	2016-10-02 02:30	EDT	4200	A	9.06	A
USGS	01578310	2016-10-02 02:45	EDT	4200	A	9.06	A
USGS	01578310	2016-10-02 03:00	EDT	4200	A	9.06	A
USGS	01578310	2016-10-02 03:15	EDT	4200	A	9.06	A
USGS	01578310	2016-10-02 03:30	EDT	4200	A	9.06	A
USGS	01578310	2016-10-02 03:45	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 04:00	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 04:15	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 04:30	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 04:45	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 05:00	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 05:15	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 05:30	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 05:45	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 06:00	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 06:15	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 06:30	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 06:45	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 07:00	EDT	4130	A	9.04	A
USGS	01578310	2016-10-02 07:15	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 07:30	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 07:45	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 08:00	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 08:15	EDT	4130	A	9.04	A
USGS	01578310	2016-10-02 08:30	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 08:45	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 09:00	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 09:15	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 09:30	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 09:45	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 10:00	EDT	4130	A	9.04	A
USGS	01578310	2016-10-02 10:15	EDT	4130	A	9.04	A
USGS	01578310	2016-10-02 10:30	EDT	4130	A	9.04	A
USGS	01578310	2016-10-02 10:45	EDT	4130	A	9.04	A
USGS	01578310	2016-10-02 11:00	EDT	4130	A	9.04	A
USGS	01578310	2016-10-02 11:15	EDT	4130	A	9.04	A
USGS	01578310	2016-10-02 11:30	EDT	4130	A	9.04	A
USGS	01578310	2016-10-02 11:45	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 12:00	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 12:15	EDT	4130	A	9.04	A
USGS	01578310	2016-10-02 12:30	EDT	4130	A	9.04	A
USGS	01578310	2016-10-02 12:45	EDT	4130	A	9.04	A
USGS	01578310	2016-10-02 13:00	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 13:15	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 13:30	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 13:45	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 14:00	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 14:15	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 14:30	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 14:45	EDT	4130	A	9.04	A
USGS	01578310	2016-10-02 15:00	EDT	4130	A	9.04	A
USGS	01578310	2016-10-02 15:15	EDT	4130	A	9.04	A
USGS	01578310	2016-10-02 15:30	EDT	4130	A	9.04	A
USGS	01578310	2016-10-02 15:45	EDT	4130	A	9.04	A
USGS	01578310	2016-10-02 16:00	EDT	4130	A	9.04	A
USGS	01578310	2016-10-02 16:15	EDT	4130	A	9.04	A
USGS	01578310	2016-10-02 16:30	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 16:45	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 17:00	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 17:15	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 17:30	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 17:45	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 18:00	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 18:15	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 18:30	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 18:45	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 19:00	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 19:15	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 19:30	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 19:45	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 20:00	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 20:15	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 20:30	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 20:45	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 21:00	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 21:15	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 21:30	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 21:45	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 22:00	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 22:15	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 22:30	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 22:45	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 23:00	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 23:15	EDT	4160	A	9.05	A
USGS	01578310	2016-10-02 23:30	EDT	4200	A	9.06	A
USGS	01578310	2016-10-02 23:45	EDT	4160	A	9.05	A
USGS	01578310	2016-10-03 00:00	EDT	4160	A	9.05	A
USGS	01578310	2016-10-03 00:15	EDT	4160	A	9.05	A
USGS	01578310	2016-10-03 00:30	EDT	4130	A	9.04	A
USGS	01578310	2016-10-03 00:45	EDT	4130	A	9.04	A
USGS	01578310	2016-10-03 01:00	EDT	4130	A	9.04	A
USGS	01578310	2016-10-03 01:15	EDT	4130	A	9.04	A
USGS	01578310	2016-10-03 01:30	EDT	4130	A	9.04	A
USGS	01578310	2016-10-03 01:45	EDT	4130	A	9.04	A
USGS	01578310	2016-10-03 02:00	EDT	4130	A	9.04	A
USGS	01578310	2016-10-03 02:15	EDT	4130	A	9.04	A
USGS	01578310	2016-10-03 02:30	EDT	4130	A	9.04	A
USGS	01578310	2016-10-03 02:45	EDT	4130	A	9.04	A
USGS	01578310	2016-10-03 03:00	EDT	4130	A	9.04	A
USGS	01578310	2016-10-03 03:15	EDT	4130	A	9.04	A
USGS	01578310	2016-10-03 03:30	EDT	4130	A	9.04	A
USGS	01578310	2016-10-03 03:45	EDT	4130	A	9.04	A
USGS	01578310	2016-10-03 04:00	EDT	4130	A	9.04	A
USGS	01578310	2016-10-03 04:15	EDT	4130	A	9.04	A
USGS	01578310	2016-10-03 04:30	EDT	4130	A	9.04	A
USGS	01578310	2016-10-03 04:45	EDT	4130	A	9.04	A
USGS	01578310	2016-10-03 05:00	EDT	4090	A	9.03	A
USGS	01578310	2016-10-03 05:15	EDT	4130	A	9.04	A
USGS	01578310	2016-10-03 05:30	EDT	4090	A	9.03	A
USGS	01578310	2016-10-03 05:45	EDT	4090	A	9.03	A
USGS	01578310	2016-10-03 06:00	EDT	4090	A	9.03	A
USGS	01578310	2016-10-03 06:15	EDT	4090	A	9.03	A
USGS	01578310	2016-10-03 06:30	EDT	4090	A	9.03	A
USGS	01578310	2016-10-03 06:45	EDT	4090	A	9.03	A
USGS	01578310	2016-10-03 07:00	EDT	4090	A	9.03	A
USGS	01578310	2016-10-03 07:15	EDT	4090	A	9.03	A
USGS	01578310	2016-10-03 07:30	EDT	4090	A	9.03	A
USGS	01578310	2016-10-03 07:45	EDT	4090	A	9.03	A
USGS	01578310	2016-10-03 08:00	EDT	4090	A	9.03	A
USGS	01578310	2016-10-03 08:15	EDT	4090	A	9.03	A
USGS	01578310	2016-10-03 08:30	EDT	4090	A	9.03	A
USGS	01578310	2016-10-03 08:45	EDT	4090	A	9.03	A
USGS	01578310	2016-10-03 09:00	EDT	4090	A	9.03	A
USGS	01578310	2016-10-03 09:15	EDT	4050	A	9.02	A
USGS	01578310	2016-10-03 09:30	EDT	4090	A	9.03	A
USGS	01578310	2016-10-03 09:45	EDT	4050	A	9.02	A
USGS	01578310	2016-10-03 10:00	EDT	4050	A	9.02	A
USGS	01578310	2016-10-03 10:15	EDT	4050	A	9.02	A
USGS	01578310	2016-10-03 10:30	EDT	4050	A	9.02	A
USGS	01578310	2016-10-03 10:45	EDT	4050	A	9.02	A
USGS	01578310	2016-10-03 11:00	EDT	4050	A	9.02	A
USGS	01578310	2016-10-03 11:15	EDT	4050	A	9.02	A
USGS	01578310	2016-10-03 11:30	EDT	4010	A	9.01	A
USGS	01578310	2016-10-03 11:45	EDT	4050	A	9.02	A
USGS	01578310	2016-10-03 12:00	EDT	4050	A	9.02	A
USGS	01578310	2016-10-03 12:15	EDT	4050	A	9.02	A
USGS	01578310	2016-10-03 12:30	EDT	4050	A	9.02	A
USGS	01578310	2016-10-03 12:45	EDT	4050	A	9.02	A
USGS	01578310	2016-10-03 13:00	EDT	4050	A	9.02	A
USGS	01578310	2016-10-03 13:15	EDT	4050	A	9.02	A
USGS	01578310	2016-10-03 13:30	EDT	4050	A	9.02	A
USGS	01578310	2016-10-03 13:45	EDT	4050	A	9.02	A
USGS	01578310	2016-10-03 14:00	EDT	4050	A	9.02	A
USGS	01578310	2016-10-03 14:15	EDT	8560	A	9.96	A
USGS	01578310	2016-10-03 14:30	EDT	19100	A	11.51	A
USGS	01578310	2016-10-03 14:45	EDT	28100	A	12.45	A
USGS	01578310	2016-10-03 15:00	EDT	31800	A	12.79	A
USGS	01578310	2016-10-03 15:15	EDT	33300	A	12.92	A
USGS	01578310	2016-10-03 15:30	EDT	33900	A	12.97	A
USGS	01578310	2016-10-03 15:45	EDT	34100	A	12.98	A
USGS	01578310	2016-10-03 16:00	EDT	34100	A	12.98	A
USGS	01578310	2016-10-03 16:15	EDT	34100	A	12.98	A
USGS	01578310	2016-10-03 16:30	EDT	34200	A	12.99	A
USGS	01578310	2016-10-03 16:45	EDT	34300	A	13.00	A
USGS	01578310	2016-10-03 17:00	EDT	34300	A	13.00	A
USGS	01578310	2016-10-03 17:15	EDT	34300	A	13.00	A
USGS	01578310	2016-10-03 17:30	EDT	34300	A	13.00	A
USGS	01578310	2016-10-03 17:45	EDT	34300	A	13.00	A
USGS	01578310	2016-10-03 18:00	EDT	34300	A	13.00	A
USGS	01578310	2016-10-03 18:15	EDT	34300	A	13.00	A
USGS	01578310	2016-10-03 18:30	EDT	34300	A	13.00	A
USGS	01578310	2016-10-03 18:45	EDT	34300	A	13.00	A
USGS	01578310	2016-10-03 19:00	EDT	34300	A	13.00	A
USGS	01578310	2016-10-03 19:15	EDT	21500	A	11.79	A
USGS	01578310	2016-10-03 19:30	EDT	12800	A	10.68	A
USGS	01578310	2016-10-03 19:45	EDT	8140	A	9.89	A
USGS	01578310	2016-10-03 20:00	EDT	5970	A	9.48	A
USGS	01578310	2016-10-03 20:15	EDT	5160	A	9.30	A
USGS	01578310	2016-10-03 20:30	EDT	4750	A	9.20	A
USGS	01578310	2016-10-03 20:45	EDT	4550	A	9.15	A
USGS	01578310	2016-10-03 21:00	EDT	4390	A	9.11	A
USGS	01578310	2016-10-03 21:15	EDT	4280	A	9.08	A
USGS	01578310	2016-10-03 21:30	EDT	4240	A	9.07	A
USGS	01578310	2016-10-03 21:45	EDT	4200	A	9.06	A
USGS	01578310	2016-10-03 22:00	EDT	4160	A	9.05	A
USGS	01578310	2016-10-03 22:15	EDT	4130	A	9.04	A
USGS	01578310	2016-10-03 22:30	EDT	4130	A	9.04	A
USGS	01578310	2016-10-03 22:45	EDT	4130	A	9.04	A
USGS	01578310	2016-10-03 23:00	EDT	4090	A	9.03	A
USGS	01578310	2016-10-03 23:15	EDT	4090	A	9.03	A
USGS	01578310	2016-10-03 23:30	EDT	4090	A	9.03	A
USGS	01578310	2016-10-03 23:45	EDT	4090	A	9.03	A
USGS	01578310	2016-10-04 00:00	EDT	4050	A	9.02	A
USGS	01578310	2016-10-04 00:15	EDT	4050	A	9.02	A
USGS	01578310	2016-10-04 00:30	EDT	4050	A	9.02	A
USGS	01578310	2016-10-04 00:45	EDT	4050	A	9.02	A
USGS	01578310	2016-10-04 01:00	EDT	4050	A	9.02	A
USGS	01578310	2016-10-04 01:15	EDT	4050	A	9.02	A
USGS	01578310	2016-10-04 01:30	EDT	4050	A	9.02	A
USGS	01578310	2016-10-04 01:45	EDT	4050	A	9.02	A
USGS	01578310	2016-10-04 02:00	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 02:15	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 02:30	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 02:45	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 03:00	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 03:15	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 03:30	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 03:45	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 04:00	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 04:15	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 04:30	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 04:45	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 05:00	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 05:15	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 05:30	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 05:45	EDT	3980	A	9.00	A
USGS	01578310	2016-10-04 06:00	EDT	3980	A	9.00	A
USGS	01578310	2016-10-04 06:15	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 06:30	EDT	3980	A	9.00	A
USGS	01578310	2016-10-04 06:45	EDT	3980	A	9.00	A
USGS	01578310	2016-10-04 07:00	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 07:15	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 07:30	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 07:45	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 08:00	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 08:15	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 08:30	EDT	3980	A	9.00	A
USGS	01578310	2016-10-04 08:45	EDT	3980	A	9.00	A
USGS	01578310	2016-10-04 09:00	EDT	3980	A	9.00	A
USGS	01578310	2016-10-04 09:15	EDT	3980	A	9.00	A
USGS	01578310	2016-10-04 09:30	EDT	3980	A	9.00	A
USGS	01578310	2016-10-04 09:45	EDT	3980	A	9.00	A
USGS	01578310	2016-10-04 10:00	EDT	3980	A	9.00	A
USGS	01578310	2016-10-04 10:15	EDT	3980	A	9.00	A
USGS	01578310	2016-10-04 10:30	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 10:45	EDT	3980	A	9.00	A
USGS	01578310	2016-10-04 11:00	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 11:15	EDT	3980	A	9.00	A
USGS	01578310	2016-10-04 11:30	EDT	3980	A	9.00	A
USGS	01578310	2016-10-04 11:45	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 12:00	EDT	3980	A	9.00	A
USGS	01578310	2016-10-04 12:15	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 12:30	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 12:45	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 13:00	EDT	3980	A	9.00	A
USGS	01578310	2016-10-04 13:15	EDT	3980	A	9.00	A
USGS	01578310	2016-10-04 13:30	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 13:45	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 14:00	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 14:15	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 14:30	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 14:45	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 15:00	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 15:15	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 15:30	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 15:45	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 16:00	EDT	4010	A	9.01	A
USGS	01578310	2016-10-04 16:15	EDT	6360	A	9.56	A
USGS	01578310	2016-10-04 16:30	EDT	14700	A	10.95	A
USGS	01578310	2016-10-04 16:45	EDT	21800	A	11.82	A
USGS	01578310	2016-10-04 17:00	EDT	24500	A	12.10	A
USGS	01578310	2016-10-04 17:15	EDT	25100	A	12.16	A
USGS	01578310	2016-10-04 17:30	EDT	25500	A	12.20	A
USGS	01578310	2016-10-04 17:45	EDT	25800	A	12.23	A
USGS	01578310	2016-10-04 18:00	EDT	25900	A	12.24	A
USGS	01578310	2016-10-04 18:15	EDT	25900	A	12.24	A
USGS	01578310	2016-10-04 18:30	EDT	26000	A	12.25	A
USGS	01578310	2016-10-04 18:45	EDT	26000	A	12.25	A
USGS	01578310	2016-10-04 19:00	EDT	26000	A	12.25	A
USGS	01578310	2016-10-04 19:15	EDT	17200	A	11.28	A
USGS	01578310	2016-10-04 19:30	EDT	10500	A	10.31	A
USGS	01578310	2016-10-04 19:45	EDT	6980	A	9.68	A
USGS	01578310	2016-10-04 20:00	EDT	5420	A	9.36	A
USGS	01578310	2016-10-04 20:15	EDT	4910	A	9.24	A
USGS	01578310	2016-10-04 20:30	EDT	4620	A	9.17	A
USGS	01578310	2016-10-04 20:45	EDT	4430	A	9.12	A
USGS	01578310	2016-10-04 21:00	EDT	4310	A	9.09	A
USGS	01578310	2016-10-04 21:15	EDT	4280	A	9.08	A
USGS	01578310	2016-10-04 21:30	EDT	4200	A	9.06	A
USGS	01578310	2016-10-04 21:45	EDT	4160	A	9.05	A
USGS	01578310	2016-10-04 22:00	EDT	4130	A	9.04	A
USGS	01578310	2016-10-04 22:15	EDT	4130	A	9.04	A
USGS	01578310	2016-10-04 22:30	EDT	4130	A	9.04	A
USGS	01578310	2016-10-04 22:45	EDT	4130	A	9.04	A
USGS	01578310	2016-10-04 23:00	EDT	4090	A	9.03	A
USGS	01578310	2016-10-04 23:15	EDT	4090	A	9.03	A
USGS	01578310	2016-10-04 23:30	EDT	4090	A	9.03	A
USGS	01578310	2016-10-04 23:45	EDT	4090	A	9.03	A
